MsgID.STATE,0.0000000,False,False
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,48.5770000,73.7168884,0.1083809,-0.0796508
MsgID.LOCAL_VELOCITY,48.5770000,-0.0000291,-0.0000019,0.0000134
MsgID.GLOBAL_POSITION,0.0000000,-122.3974536,37.7931435,0.1400000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,48.8280000,73.6750717,-0.0324537,-0.1408123
MsgID.LOCAL_VELOCITY,48.8280000,-0.0000221,0.0000055,0.0000160
MsgID.STATE,0.0000000,True,True
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974538,37.7931437,0.1870000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,49.0790000,73.6973724,-0.0522697,-0.1876599
MsgID.LOCAL_VELOCITY,49.0790000,-0.0000231,-0.0000002,0.0000196
MsgID.GLOBAL_POSITION,0.0000000,-122.3974538,37.7931437,0.2200000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,49.3290000,73.6971588,-0.0522520,-0.2209866
MsgID.LOCAL_VELOCITY,49.3290000,-0.0000327,0.0000119,0.0000172
MsgID.GLOBAL_POSITION,0.0000000,-122.3974538,37.7931429,0.2320000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,49.5800000,73.6049652,-0.0519927,-0.2320722
MsgID.LOCAL_VELOCITY,49.5800000,-0.0000207,0.0000053,0.0000221
MsgID.LOCAL_POSITION,49.8310000,73.6286621,-0.0620563,-0.2243331
MsgID.LOCAL_VELOCITY,49.8310000,-0.0000226,0.0000025,0.0000191
MsgID.GLOBAL_POSITION,0.0000000,-122.3974540,37.7931431,0.2240000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.STATE,0.0000000,True,True
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974545,37.7931448,0.2030000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,50.0810000,73.8237305,-0.1096821,-0.2034845
MsgID.LOCAL_VELOCITY,50.0810000,-0.0000308,-0.0000007,0.0000162
MsgID.GLOBAL_POSITION,0.0000000,-122.3974544,37.7931437,0.1700000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,50.3320000,73.6989441,-0.1043436,-0.1709501
MsgID.LOCAL_VELOCITY,50.3320000,-0.0000294,0.0000052,0.0000126
MsgID.GLOBAL_POSITION,0.0000000,-122.3974525,37.7931444,0.1340000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,50.5820000,73.7796783,0.0675858,-0.1344354
MsgID.LOCAL_VELOCITY,50.5820000,-0.0000210,-0.0000100,0.0000196
MsgID.GLOBAL_POSITION,0.0000000,-122.3974531,37.7931445,0.0910000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,50.8320000,73.7813721,0.0180899,-0.0915284
MsgID.LOCAL_VELOCITY,50.8320000,-0.0000279,-0.0000006,0.0000156
MsgID.STATE,0.0000000,True,True
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974543,37.7931431,0.0520000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,51.0830000,73.6318588,-0.0897785,-0.0529774
MsgID.LOCAL_VELOCITY,51.0830000,-0.0000201,-0.0000052,0.0000177
MsgID.GLOBAL_POSITION,0.0000000,-122.3974538,37.7931424,0.0170000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,51.3330000,73.5513458,-0.0524459,-0.0175601
MsgID.LOCAL_VELOCITY,51.3330000,-0.0000199,0.0000097,0.0000221
MsgID.GLOBAL_POSITION,0.0000000,-122.3974538,37.7931423,-0.0070000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,51.5840000,73.5381470,-0.0520340,0.0074822
MsgID.LOCAL_VELOCITY,51.5840000,-0.0000214,0.0000099,0.0000124
MsgID.GLOBAL_POSITION,0.0000000,-122.3974534,37.7931438,-0.0200000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,51.8340000,73.7097549,-0.0156633,0.0209233
MsgID.LOCAL_VELOCITY,51.8340000,-0.0000330,-0.0000076,0.0000206
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.STATE,0.0000000,True,True
MsgID.GLOBAL_POSITION,0.0000000,-122.3974547,37.7931449,-0.0200000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,52.0850000,73.8328094,-0.1244293,0.0208365
MsgID.LOCAL_VELOCITY,52.0850000,-0.0000292,-0.0000049,0.0000145
MsgID.GLOBAL_POSITION,0.0000000,-122.3974559,37.7931440,-0.0080000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,52.3350000,73.7324295,-0.2364220,0.0086267
MsgID.LOCAL_VELOCITY,52.3350000,-0.0000164,0.0000025,0.0000175
MsgID.LOCAL_POSITION,52.5850000,73.5694122,-0.1427697,-0.0109819
MsgID.LOCAL_VELOCITY,52.5850000,-0.0000278,-0.0000028,0.0000143
MsgID.GLOBAL_POSITION,0.0000000,-122.3974549,37.7931425,0.0100000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974548,37.7931438,0.0350000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,52.8350000,73.7083359,-0.1409220,-0.0351742
MsgID.LOCAL_VELOCITY,52.8350000,-0.0000276,0.0000144,0.0000125
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.STATE,0.0000000,True,True
MsgID.GLOBAL_POSITION,0.0000000,-122.3974534,37.7931427,0.0580000
